participant_id,block,sequence,period_1_condition,period_2_condition,period_1_task_order,period_2_task_order
P001,1,section-adaptive-uniform,section-adaptive,uniform,wifi|emergency|checkin|activity|checkout|tickets|weather|restaurant|nearby,restaurant|weather|tickets|checkout|activity|checkin|emergency|wifi|nearby
P002,1,uniform-section-adaptive,uniform,section-adaptive,emergency|checkin|activity|checkout|tickets|weather|restaurant|nearby|wifi,tickets|checkout|activity|checkin|emergency|wifi|nearby|restaurant|weather
P003,1,uniform-section-adaptive,uniform,section-adaptive,checkin|activity|checkout|tickets|weather|restaurant|nearby|wifi|emergency,activity|checkin|emergency|wifi|nearby|restaurant|weather|tickets|checkout
P004,1,section-adaptive-uniform,section-adaptive,uniform,activity|checkout|tickets|weather|restaurant|nearby|wifi|emergency|checkin,emergency|wifi|nearby|restaurant|weather|tickets|checkout|activity|checkin
P005,2,section-adaptive-uniform,section-adaptive,uniform,checkout|tickets|weather|restaurant|nearby|wifi|emergency|checkin|activity,activity|checkin|emergency|wifi|nearby|restaurant|weather|tickets|checkout
P006,2,section-adaptive-uniform,section-adaptive,uniform,tickets|weather|restaurant|nearby|wifi|emergency|checkin|activity|checkout,emergency|wifi|nearby|restaurant|weather|tickets|checkout|activity|checkin
P007,2,uniform-section-adaptive,uniform,section-adaptive,weather|restaurant|nearby|wifi|emergency|checkin|activity|checkout|tickets,nearby|restaurant|weather|tickets|checkout|activity|checkin|emergency|wifi
P008,2,uniform-section-adaptive,uniform,section-adaptive,restaurant|nearby|wifi|emergency|checkin|activity|checkout|tickets|weather,weather|tickets|checkout|activity|checkin|emergency|wifi|nearby|restaurant
P009,3,section-adaptive-uniform,section-adaptive,uniform,nearby|wifi|emergency|checkin|activity|checkout|tickets|weather|restaurant,nearby|restaurant|weather|tickets|checkout|activity|checkin|emergency|wifi
P010,3,section-adaptive-uniform,section-adaptive,uniform,wifi|emergency|checkin|activity|checkout|tickets|weather|restaurant|nearby,weather|tickets|checkout|activity|checkin|emergency|wifi|nearby|restaurant
P011,3,uniform-section-adaptive,uniform,section-adaptive,emergency|checkin|activity|checkout|tickets|weather|restaurant|nearby|wifi,checkout|activity|checkin|emergency|wifi|nearby|restaurant|weather|tickets
P012,3,uniform-section-adaptive,uniform,section-adaptive,checkin|activity|checkout|tickets|weather|restaurant|nearby|wifi|emergency,checkin|emergency|wifi|nearby|restaurant|weather|tickets|checkout|activity
P013,4,uniform-section-adaptive,uniform,section-adaptive,activity|checkout|tickets|weather|restaurant|nearby|wifi|emergency|checkin,checkout|activity|checkin|emergency|wifi|nearby|restaurant|weather|tickets
P014,4,uniform-section-adaptive,uniform,section-adaptive,checkout|tickets|weather|restaurant|nearby|wifi|emergency|checkin|activity,checkin|emergency|wifi|nearby|restaurant|weather|tickets|checkout|activity
P015,4,section-adaptive-uniform,section-adaptive,uniform,tickets|weather|restaurant|nearby|wifi|emergency|checkin|activity|checkout,wifi|nearby|restaurant|weather|tickets|checkout|activity|checkin|emergency
P016,4,section-adaptive-uniform,section-adaptive,uniform,weather|restaurant|nearby|wifi|emergency|checkin|activity|checkout|tickets,restaurant|weather|tickets|checkout|activity|checkin|emergency|wifi|nearby
P017,5,section-adaptive-uniform,section-adaptive,uniform,restaurant|nearby|wifi|emergency|checkin|activity|checkout|tickets|weather,wifi|nearby|restaurant|weather|tickets|checkout|activity|checkin|emergency
